Consecutive number,"Connection
device identifier(full)","cable
Type/connections number/RCS",Connection: Type designation,Connection color / number,Connection: Cross-section / diameter,Length (full),source,target,Wire termination processing source,Wire termination processing target,Routing direction source,Routing direction target,Bundle,Layout space: Routing track,Connection designation,Remark
576,=A02+I1-W303,"UNITRONIC? LiYY 25x0,25",,BU,"0,25",10 m,=A02+K1.B1-X20-X20.1M:7,=A02+S1-A21-X1:7,,,,,,,,
577,=+,,H05V-K,BU,"0,5",,=O01+K1.B1-A1:10,=A02+K1.B1-X20-X20.1F:7,,,,,,,,
578,=A02+I1-W303,"UNITRONIC? LiYY 25x0,25",,RD,"0,25",10 m,=A02+K1.B1-X20-X20.1M:8,=A02+S1-A21-X1:8,,,,,,,,
579,=+,,H05V-K,BU,"0,5",,=O01+K1.B1-A1:11,=A02+K1.B1-X20-X20.1F:8,,,,,,,,
580,=+,,H05V-K,BU,"0,5",,=O02+K1.H1-A20-X3:5,=O01+K1.B1-W5(-P2):P2:1,,,,,,,,
581,=O02+K1-W313,"UNITRONIC LiYCY 3x0,5",,WH,"0,5",,=O02+K1.H1-A20-X3:3,=O01+K1.B1-A2:1,,,,,,,,
582,=O02+K1-W313,"UNITRONIC LiYCY 3x0,5",,BN,"0,5",,=O02+K1.H1-A20-X3:1,=O01+K1.B1-A2:5,,,,,,,,
583,=O02+K1-W313,"UNITRONIC LiYCY 3x0,5",,GN,"0,5",,=O02+K1.H1-A20-X3:7,=O01+K1.B1-A2:4,,,,,,,,
584,=P01+K1-W101,"Netzkabel-Ger?t 3x0,75",,BK,"0,75",,=P01+K1.G1-D1:L,=P01+K1.G1-E1:X1:L,,,,,,,,
585,=P01+K1-W100,"Netzkabel 3x0,75",,BN,"0,75",,=P01+K1.G1-E1:X0:L,=A01+K1.B1-X20:L,,,,,,,,
586,=P01+K1-W101,"Netzkabel-Ger?t 3x0,75",,BU,"0,75",,=P01+K1.G1-D1:N,=P01+K1.G1-E1:X1:N,,,,,,,,
587,=P01+K1-W100,"Netzkabel 3x0,75",,BU,"0,75",,=P01+K1.G1-E1:X0:N,=A01+K1.B1-X20:N,,,,,,,,
588,=P01+K1-W101,"Netzkabel-Ger?t 3x0,75",,GNYE,"0,75",,=P01+K1.G1-D1:PE,=P01+K1.G1-E1:X1:PE,,,,,,,,
589,=P01+K1-W100,"Netzkabel 3x0,75",,GNYE,"0,75",,=P01+K1.G1-E1:X0:PE,=A01+K1.B1-X20:PE,,,,,,,,
590,=P01+K1-W503,,,4-pol. USB,,,=P01+K1.G1-D1:USB1,=P01+K1.G1-E1:USB,,,,,,,,
591,=P01+K1-W507,,,4-pol. USB,,,=P01+K1.G1-D1:USB3,=P01+K1.G2-X1,,,,,,,,
592,=+,,H05V-K,BU,"0,5",,=P01+K1.G2-X1:USB A,=P01+K1.G2-X1,,,,,,,,
593,=P01+K1-W509,,,4-pol. USB,,,=P01+K1.G1-D1:MOUSE,=P01+K1.G2-X2,,,,,,,,
594,=+,,H05V-K,BU,"0,5",,=P01+K1.G2-X2:USB A,=P01+K1.G2-X2,,,,,,,,
595,=P01+K1-W102,"Netzkabel-Ger?t 3x0,75",,BK,"0,75",,=P01+K1.G2-P1:L,=P01+K1.G1-E1:X2:L,,,,,,,,
596,=P01+K1-W102,"Netzkabel-Ger?t 3x0,75",,BU,"0,75",,=P01+K1.G2-P1:N,=P01+K1.G1-E1:X2:N,,,,,,,,
597,=P01+K1-W102,"Netzkabel-Ger?t 3x0,75",,GNYE,"0,75",,=P01+K1.G2-P1:PE,=P01+K1.G1-E1:X2:PE,,,,,,,,
598,=+,,H07V-K,GNYE,"2,5",,=A02+K1.H2-X6:PE:2,=+:PE,,,,,,,,
599,=+,,H05V-K,BU,"0,5",,=P01+K1.G1-D1:RJ45,=P01+K1.B1-A0.10:1:1,,,,,,,,
600,=A02+K1-W530,Cat-5e Patchkabel 1x0.10,,GN,"0,10",3 m,=A02+K1.A1-X21:Ethernet,=P01+K1.G1-D1:RJ45,,,,,,,,
601,=P01+K1-W103,"?LFLEX? CLASSIC 110 3x0,5 mm?",,1,0.5,,=P01+K1.B1-X9:1:4,=P01+K1.H1-D2:+,,,,,,,,
602,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-V1:2.1,=P01+K1.B1-X9:1:3,,,,,,,,
603,=+,,H05V-K,BU,"0,5",,=A01+K1.B1-W7(-P1):P1:2,=P01+K1.B1-V1:1.1,,,,,,,,
604,=P01+K1-W103,"?LFLEX? CLASSIC 110 3x0,5 mm?",,GNYE,0.5,,=P01+K1.B1-X9:PE:1,=P01+K1.H1-D2:GND,,,,,,,,
605,=P01+K1-W103,"?LFLEX? CLASSIC 110 3x0,5 mm?",,2,0.5,,=P01+K1.B1-X9:2:5,=P01+K1.H1-D2:-,,,,,,,,
606,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-X9:2:2,=A01+K1.B1-W7(-P2):P2:2,,,,,,,,
607,=+,,H05V-K,BU,"0,5",,=A01+K1.B1-W7(-P2):P2:2,=P01+K1.B1-V1:3.1,,,,,,,,
608,=P01+K1-W513,Cat-5 Patchkabel,,GN,"0,25",1 m,=P01+K1.H1-D2-LAN-A,=P01+K1.G1-D1:RJ45,,,,,,,,
609,=+,,H05V-K,BU,"0,5",,=A01+K1.B1-W7(-P1):P1:1,=P01+K1.B1-A0.10:US:1,,,,,,,,
610,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-A0.10:US:2,=A01+K1.B1-W7(-P2):P2:1,,,,,,,,
611,=P01+K1-W514,Cat-5 Patchkabel,,GN,"0,25",1 m,=P01+K1.B1-A0.10:2:2,=P01+K1.H1-D2-LAN-A,,,,,,,,
612,=+,,H05V-K,BU,"0,5",,=A02+K1.H2-X6:PE:2,=P01+K1.B1-A0.10:US:3,,,,,,,,
613,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-A0.0:1,=A02+K1.B1-W5(-P1):X3:5,,,,,,,,
614,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-A0.0:5,=A02+K1.B1-W5(-P2):X4:7,,,,,,,,
615,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-A0.0:2,=A02+K1.B1-W5(-P1):X3:6,,,,,,,,
616,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-A0.0:7,=A02+K1.B1-W5(-P2):X4:8,,,,,,,,
617,=P01+K1-W510,Cat-5 Patchkabel,,GN,"0,25",1 m,=P01+K1.B1-A0.0:EtherCAT IN,=P01+K1.H1-D2-LAN-A,,,,,,,,
618,=P01+K1-W511,"Cat-5 Patchkabel 2x4x0,14 mm?",,GN,"0,25",1 m,=P01+K1.B1-A0:EtherCAT IN,=P01+K1.B1-A0.0:EtherCAT OUT,,,,,,,,
619,=F01+I1-W541,Cat-5 Patchkabel 2x4x0.14,,GN,"0,10",0.5 m,=F01+S1-N1.123:EtherCAT IN,=F01+K1.D2-X11:1,,,,,,,,
620,=+,,,,,,=F01+K1.D2-X11:1,=F01+K1.D2-X11:1,,,,,,,,
621,=F01+K1-W541,Cat-5 Patchkabel 2x4x0.14,,GN,"0,10",0.5 m,=F01+K1.D2-X11:1,=P01+K1.B1-A0.2:EtherCAT X2,,,,,,,,
622,=M01+K1-W540,"Cat-5 Patchkabel 2x4x0,14 mm?",,GN,"0,10",3 m,=M01+K1.H1-U1:IN:1-8,=P01+K1.B1-A0.2:EtherCAT X1,,,,,,,,
623,=F01+S1-W543,"Cat-5 Patchkabel 2x4x0,14",,GN,"0,10",0.5 m,=F01+S1-N2:EtherCAT IN,=F01+S1-N1.123:EtherCAT OUT,,,,,,,,
624,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-A0:1,=A01+K1.B1-W7(-P1):X3:5,,,,,,,,
625,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-A0:5,=A01+K1.B1-W7(-P2):X4:7,,,,,,,,
626,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-A0:2,=A02+K1.B1-W5(-P1):X3:6,,,,,,,,
627,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-A0:7,=A02+K1.B1-W5(-P2):X4:8,,,,,,,,
628,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-X9:3:4,=A02+K1.B1-W5(-P1):P1,,,,,,,,
629,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-X9:4:5,=Q01+K1.B1-X9:33:4,,,,,,,,
630,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-X9:5:4,=Q01+K1.B1-X9:41:4,,,,,,,,
631,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-X9:7:4,=A02+K1.B1-K21:71,,,,,,,,
632,=P01+I1-W430,UNITRONIC? LiYCY 12x0.5 mm?,,1-15,0.5,2 m,=P01+K1.G2-X3:1-15,=P01+S1-A50:X1.1-15,,,,,,,,
633,=+,,H05V-K,BU,"0,5",,=P01+S1-A50-X1:1,=P01+S1-A50-S6:13,,,,,,,,
634,=+,,H05V-K,BU,"0,5",,=P01+S1-A50-S1:14,=P01+S1-A50-X1:2,,,,,,,,
635,=+,,H05V-K,BU,"0,5",,=P01+S1-A50-S1:13,=P01+S1-A50-S2:13,,,,,,,,
636,=+,,H05V-K,BU,"0,5",,=P01+S1-A50-S6:14,=P01+S1-A50-S2:13,,,,,,,,
637,=+,,H05V-K,BU,"0,5",,=P01+S1-A50-S6:14,=P01+S1-A50-S3:13,,,,,,,,
638,=+,,H05V-K,BU,"0,5",,=P01+S1-A50-S3:13,=P01+S1-A50-S4:13,,,,,,,,
639,=+,,H05V-K,BU,"0,5",,=P01+S1-A50-S4:13,=P01+S1-A50-S5:11,,,,,,,,
640,=+,,H05V-K,BU,"0,5",,=P01+S1-A50-S2:14,=P01+S1-A50-X1:3,,,,,,,,
641,=+,,H05V-K,BU,"0,5",,=P01+S1-A50-S3:14,=P01+S1-A50-X1:4,,,,,,,,
642,=+,,H05V-K,BU,"0,5",,=P01+S1-A50-S4:14,=P01+S1-A50-X1:5,,,,,,,,
643,=+,,H05V-K,BU,"0,5",,=P01+S1-A50-S5:14,=P01+S1-A50-X1:6,,,,,,,,
644,=+,,H05V-K,BU,"0,5",,=P01+S1-A50-S5:12,=P01+S1-A50-X1:7,,,,,,,,
645,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-K21:72,=A02+K1.B1-A3:12,,,,,,,,
646,=Q01+I1-W100,H07V-K 1x16 mm?,,GNYE,"16,00",5 m,=A01+S1-W0,=Q01+K1.G1-G1:PE,,,,,,,,
647,=Q01+K1-W106,?LFLEX? CLASSIC 110 4x4 mm?,,1,4,,=Q01+K1.B1-X20:1:2,=Q01+K1.G1-G1:A,,,,,,,,
648,=+,,H07V-K,BK,4,,=Q01+K1.H2-Q1:T1,=Q01+K1.B1-X20:1:1,,,,,,,,
649,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W2:2L1,=Q01+K1.H2-Q1:L1,,,,,,,,
650,=Q01+K1-W106,?LFLEX? CLASSIC 110 4x4 mm?,,2,4,,=Q01+K1.B1-X20:2:2,=Q01+K1.G1-G1:B,,,,,,,,
651,=+,,H07V-K,BK,4,,=Q01+K1.H2-Q1:T2,=Q01+K1.B1-X20:2:1,,,,,,,,
652,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W2:2L2,=Q01+K1.H2-Q1:L2,,,,,,,,
653,=Q01+K1-W106,?LFLEX? CLASSIC 110 4x4 mm?,,3,4,,=Q01+K1.B1-X20:3:2,=Q01+K1.G1-G1:C,,,,,,,,
654,=+,,H07V-K,BK,4,,=Q01+K1.H2-Q1:T3,=Q01+K1.B1-X20:3:1,,,,,,,,
655,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W2:2L3,=Q01+K1.H2-Q1:L3,,,,,,,,
656,=Q01+K1-W106,?LFLEX? CLASSIC 110 4x4 mm?,,GNYE,4,,=Q01+K1.B1-X20:PE:1,=Q01+K1.G1-G1:PE,,,,,,,,
657,=+,,H07V-K,GNYE,4,,=A02+K1.H2-X6:3:2,=Q01+K1.B1-X20:PE:2,,,,,,,,
658,=Q01+S1-W101,H07V-K 1x16 mm?,,GNYE,16,,=A01+S1-W0,=Q01+S1-N1:PE,,,,,,,,
659,=Q01+I1-W102,"Coaxial - RG 1x2,25",,Schirm2,,,=A02+K1-W30:SE,=A02+K1-W30:SE,,,,,,,,
660,=Q01+I1-W102,"Coaxial - RG 1x2,25",,RG 213,"0,00",5 m,=Q01+S1-N1:X7.1,=Q01+K1.G1-G1:A,,,,,,,,
661,=Q01+I1-W102,"Coaxial - RG 1x2,25",,Schirm1,,,=Q01+S1-N1:X7.S,=Q01+S1-N4:X7.S,,,,,,,,
662,=Q01+S1-W103,H07V-K 1x16 mm?,,GNYE,"16,00",,=Q01+S1-N4:PE,=A01+S1-W0,,,,,,,,
663,=Q01+I1-W104,"Coaxial - RG 1x2,25 mm?",,RG 213,"0,00",5 m,=Q01+S1-N4:X7.1,=Q01+K1.G1-G1:B,,,,,,,,
664,=Q01+I1-W104,"Coaxial - RG 1x2,25 mm?",,Schirm1,,,=Q01+I1-W104:Schirm1,=Q01+K1.G1-G1:B.S,,,,,,,,
665,=Q01+I1-W105,"Coaxial - RG 1x2,25 mm?",,Schirm2,,,=A02+K1-W30:SE,=Q01+I1-W105:Schirm2,,,,,,,,
666,=Q01+I1-W105,"Coaxial - RG 1x2,25 mm?",,RG 213,"0,00",3 m,=Q01+S1-X100:1:1,=Q01+K1.G1-G1:GND,,,,,,,,
667,=+,,H05V-K,BU,"0,5",,=Q01+K1.H2-Q1:14,=Q01+K1.B1-A1:1,,,,,,,,
668,=Q01+I1-W105,"Coaxial - RG 1x2,25 mm?",,Schirm1,,,=Q01+K1.G1-G1:GND.S,=Q01+S1-X100:G,,,,,,,,
669,=Q01+K1-W340,"?LFLEX? CLASSIC 110 3x0,75 mm?",,1,0.75,,=Q01+K1.B1-X9:1:4,=Q01+K1.G1-G1:J2.1,,,,,,,,
670,=+,,H05V-K,,,,=Q01+K1.B1-X9:1:3,=Q01+K1.B1-X9:2:2,,,,,,,,
671,=Q01+K1-W340,"?LFLEX? CLASSIC 110 3x0,75 mm?",,2,0.75,,=Q01+K1.B1-X9:2:5,=Q01+K1.G1-G1:J2.2,,,,,,,,
672,=Q01+K1-W407,"UNITRONIC? LiYCY (TP) 6x0,5",,Schirm,,,=Q01+K1.G1-G1:J3.CASE,=A02+K1.B1-W11:SE,,,,,,,,
673,=Q01+K1-W407,"UNITRONIC? LiYCY (TP) 6x0,5",,WH,"0,5",4.5 m,=Q01+K1.B1-A10:7,=Q01+K1.G1-G1:J3.1,,,,,,,,
674,=Q01+K1-W407,"UNITRONIC? LiYCY (TP) 6x0,5",,BN,"0,5",4.5 m,=Q01+K1.B1-A10:8,=Q01+K1.G1-G1:J3.2,,,,,,,,
675,=Q01+K1-W407,"UNITRONIC? LiYCY (TP) 6x0,5",,GN,"0,5",4.5 m,=Q01+K1.B1-A11:3,=Q01+K1.G1-G1:J3.5,,,,,,,,
676,=Q01+K1-W407,"UNITRONIC? LiYCY (TP) 6x0,5",,YE,"0,5",4.5 m,=Q01+K1.B1-A11:4,=Q01+K1.G1-G1:J3.6,,,,,,,,
677,=Q01+K1-W407,"UNITRONIC? LiYCY (TP) 6x0,5",,GY,"0,5",4.5 m,=Q01+K1.B1-A11:7,=Q01+K1.G1-G1:J3.7,,,,,,,,
678,=Q01+K1-W407,"UNITRONIC? LiYCY (TP) 6x0,5",,PK,"0,5",4.5 m,=Q01+K1.B1-A11:8,=Q01+K1.G1-G1:J3.9,,,,,,,,
679,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-W5(-P2):P2:1,=Q01+K1.B1-X9:4:5,,,,,,,,
680,=Q01+K1-W308,UNITRONIC? LiYCY (TP) 12x0.25,,Schirm,"0,00",,=Q01+K1.G1-G1:J4.CASE,=A02+K1.B1-W9:SE,,,,,,,,
681,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-X9:3:4,=Q01+K1.B1-A1:9,,,,,,,,
682,=Q01+K1-W308,UNITRONIC? LiYCY (TP) 12x0.25,,WH,0.25,3.5 m,=Q01+K1.G1-G1:J4.1,=Q01+K1.B1-X9:3:3,,,,,,,,
683,=Q01+K1-W308,UNITRONIC? LiYCY (TP) 12x0.25,,BN,0.25,3.5 m,=Q01+K1.G1-G1:J4.2,=Q01+K1.B1-X9:4:2,,,,,,,,
684,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-X9:5:4,=Q01+K1.B1-A1:2,,,,,,,,
685,=Q01+K1-W308,UNITRONIC? LiYCY (TP) 12x0.25,,GN,"0,25",3.5 m,=Q01+K1.G1-G1:J4.5,=Q01+K1.B1-X9:5:3,,,,,,,,
686,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-X9:6:5,=Q01+K1.B1-W5(-P1):X1:1,,,,,,,,
687,=Q01+K1-W308,UNITRONIC? LiYCY (TP) 12x0.25,,YE,"0,25",3.5 m,=Q01+K1.G1-G1:J4.6,=Q01+K1.B1-X9:6:2,,,,,,,,
688,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-X9:7:4,=Q01+K1.B1-A1:3,,,,,,,,
689,=Q01+K1-W308,UNITRONIC? LiYCY (TP) 12x0.25,,PK,"0,25",3.5 m,=Q01+K1.G1-G1:J4.7,=Q01+K1.B1-X9:7:3,,,,,,,,
690,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-X9:8:5,=Q01+K1.B1-W5(-P1):X1:2,,,,,,,,
691,=Q01+K1-W308,UNITRONIC? LiYCY (TP) 12x0.25,,GY,"0,25",3.5 m,=Q01+K1.G1-G1:J4.8,=Q01+K1.B1-X9:8:2,,,,,,,,
692,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-X9:9:4,=Q01+K1.B1-A1:4,,,,,,,,
693,=Q01+K1-W308,UNITRONIC? LiYCY (TP) 12x0.25,,GYPK,"0,25",3.5 m,=Q01+K1.G1-G1:J4.9,=Q01+K1.B1-X9:9:3,,,,,,,,
694,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-X9:10:5,=Q01+K1.B1-W5(-P1):X1:3,,,,,,,,
695,=Q01+K1-W308,UNITRONIC? LiYCY (TP) 12x0.25,,RDBU,"0,25",3.5 m,=Q01+K1.G1-G1:J4.10,=Q01+K1.B1-X9:10:2,,,,,,,,
696,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-X9:11:4,=Q01+K1.B1-A1:5,,,,,,,,
697,=Q01+K1-W308,UNITRONIC? LiYCY (TP) 12x0.25,,RD,"0,25",3.5 m,=Q01+K1.G1-G1:J4.11,=Q01+K1.B1-X9:11:3,,,,,,,,
698,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-X9:12:5,=Q01+K1.B1-W5(-P1):X1:4,,,,,,,,
699,=Q01+K1-W308,UNITRONIC? LiYCY (TP) 12x0.25,,BU,"0,25",3.5 m,=Q01+K1.G1-G1:J4.12,=Q01+K1.B1-X9:12:2,,,,,,,,
700,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-X9:13:4,=Q01+K1.B1-A1:6,,,,,,,,
701,=Q01+K1-W308,UNITRONIC? LiYCY (TP) 12x0.25,,BK,"0,25",3.5 m,=Q01+K1.G1-G1:J4.13,=Q01+K1.B1-X9:13:3,,,,,,,,
702,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-X9:14:5,=Q01+K1.B1-W5(-P1):X1:5,,,,,,,,
703,=Q01+K1-W308,UNITRONIC? LiYCY (TP) 12x0.25,,VT,"0,25",3.5 m,=Q01+K1.G1-G1:J4.14,=Q01+K1.B1-X9:14:2,,,,,,,,
704,=+,,,,,,=Q01+K1.D2-X1:1,=Q01+K1.D2-X1:1,,,,,,,,
705,=Q01+I1-W109,?LFLEX? CLASSIC 110 3x1.5 mm?,,1,"1,5",8 m,=Q01+K1.D2-X1:1,=Q01+S1-N1:X0.1,,,,,,,,
706,=+,,H07V-K,BK,"1,5",,=Q01+K1.H2-Q2:T1,=Q01+K1.D2-X1:1,,,,,,,,
707,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W3:3L1,=Q01+K1.H2-Q2:L1,,,,,,,,
708,=+,,,,,,=Q01+K1.D2-X1:2,=Q01+K1.D2-X1:2,,,,,,,,
709,=Q01+I1-W109,?LFLEX? CLASSIC 110 3x1.5 mm?,,2,"1,5",8 m,=Q01+K1.D2-X1:2,=Q01+S1-N1:X0.2,,,,,,,,
710,=+,,H07V-K,BK,"1,5",,=Q01+K1.H2-Q2:T2,=Q01+K1.D2-X1:2,,,,,,,,
711,=+,,H07V-K,BK,"1,5",,=Q01+K1.H2-Q2:T2,=Q01+K1.D2-X2:2,,,,,,,,
712,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W3:3L2,=Q01+K1.H2-Q2:L2,,,,,,,,
713,=+,,,,,,=Q01+K1.D2-X1:3,=Q01+K1.D2-X1:3,,,,,,,,
714,=+,,H07V-K,BK,"1,5",,=Q01+K1.H2-Q2:T3,=Q01+K1.D2-X2:1,,,,,,,,
715,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W3:3L3,=Q01+K1.H2-Q2:L3,,,,,,,,
716,=Q01+I1-W109,?LFLEX? CLASSIC 110 3x1.5 mm?,,GNYE,"1,5",8 m,=Q01+K1.D2-X1:PE,=Q01+S1-N1:X0.PE,,,,,,,,
717,=+,,H05V-K,BU,"0,5",,=Q01+K1.D2-X1:PE,=Q01+K1.D2-X1:PE,,,,,,,,
718,=+,,H07V-K,GNYE,"1,5",,=A02+K1.H2-X6:4:2,=Q01+K1.D2-X1:PE,,,,,,,,
719,=Q01+S1-W110,HE 10 1x0.00,,HE10,"0,00",,=Q01+S1-E1:1,=Q01+S1-N1:X5.1,,,,,,,,
720,=Q01+S1-W110,HE 10 1x0.00,,FLEXGR-Cu,"0,00",,=Q01+S1-E1:S,=Q01+S1-N1:X5.S,,,,,,,,
721,=Q01+S1-W111,"HE 10 1x0,00",,HE10,"0,00",,=Q01+S1-E1:1,=Q01+S1-N1:X6.1,,,,,,,,
722,=Q01+S1-W111,"HE 10 1x0,00",,FLEXGR-Cu,"0,00",,=Q01+S1-E1:S,=Q01+S1-N1:X6.S,,,,,,,,
723,=+,,H05V-K,BU,"0,5",,=Q01+K1.H2-Q2:14,=Q01+K1.B1-A4:1,,,,,,,,
724,=+,,H05V-K,BU,"0,5",,=Q01+K1.H2-Q2:14,=Q01+K1.B1-A7:1,,,,,,,,
725,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-W5(-P1):P1:2,=Q01+K1.H2-Q2:13,,,,,,,,
726,=Q01+I1-W312,"UNITRONIC? LiYCY 10x0,5 mm?",,Schirm,,,=Q01+S1-N1:X1.CASE,=A02+K1.B1-W10:SE,,,,,,,,
727,=Q01+I1-W312,"UNITRONIC? LiYCY 10x0,5 mm?",,WH,"0,5",,=A02+K1.B1-X21-X21.1M:1,=Q01+S1-N1:X1.1,,,,,,,,
728,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A4:9,=A02+K1.B1-X21-X21.1F:1,,,,,,,,
729,=Q01+I1-W312,"UNITRONIC? LiYCY 10x0,5 mm?",,BN,"0,5",,=A02+K1.B1-X21-X21.1M:2,=Q01+S1-N1:X1.2,,,,,,,,
730,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X21-X21.1F:2,=Q01+K1.B1-W5(-P2):P2:2,,,,,,,,
731,=Q01+I1-W312,"UNITRONIC? LiYCY 10x0,5 mm?",,GN,"0,5",,=A02+K1.B1-X21-X21.1M:3,=Q01+S1-N1:X1.3,,,,,,,,
732,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A4:10,=A02+K1.B1-X21-X21.1F:3,,,,,,,,
733,=Q01+I1-W312,"UNITRONIC? LiYCY 10x0,5 mm?",,YE,"0,5",,=A02+K1.B1-X21-X21.1M:4,=Q01+S1-N1:X1.4,,,,,,,,
734,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X21-X21.1F:4,=Q01+K1.B1-W5(-P2):P2:2,,,,,,,,
735,=Q01+I1-W312,"UNITRONIC? LiYCY 10x0,5 mm?",,GY,"0,5",,=A02+K1.B1-X21-X21.1M:5,=Q01+S1-N1:X1.5,,,,,,,,
736,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A4:11,=A02+K1.B1-X21-X21.1F:5,,,,,,,,
737,=Q01+I1-W312,"UNITRONIC? LiYCY 10x0,5 mm?",,PK,"0,5",,=A02+K1.B1-X21-X21.1M:6,=Q01+S1-N1:X1.6,,,,,,,,
738,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X21-X21.1F:6,=Q01+K1.B1-W5(-P2):P2:2,,,,,,,,
739,=Q01+I1-W312,"UNITRONIC? LiYCY 10x0,5 mm?",,BU,"0,5",,=A02+K1.B1-X21-X21.1M:7,=Q01+S1-N1:X1.7,,,,,,,,
740,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A4:2,=A02+K1.B1-X21-X21.1F:7,,,,,,,,
741,=Q01+I1-W312,"UNITRONIC? LiYCY 10x0,5 mm?",,BK,"0,5",,=A02+K1.B1-X21-X21.1M:8,=Q01+S1-N1:X1.9,,,,,,,,
742,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A4:3,=A02+K1.B1-X21-X21.1F:8,,,,,,,,
743,=Q01+I1-W312,"UNITRONIC? LiYCY 10x0,5 mm?",,RD,"0,5",,=A02+K1.B1-X21-X21.1M:9,=Q01+S1-N1:X1.8,,,,,,,,
744,=Q01+I1-W312,"UNITRONIC? LiYCY 10x0,5 mm?",H05V-K,BU,"0,75",,=A02+K1.B1-X21-X21.1F:9,=Q01+K1.B1-W5(-P1):P1,,,,,,,,
745,=Q01+I1-W413,"UNITRONIC? LiYCY (TP) 8x0,5",,WH,"0,5",2 m,=A02+K1.B1-X21-X21.1M:10,=Q01+S1-N1-X2:3,,,,,,,,
746,=Q01+K1-W413,"UNITRONIC? LiYCY (TP) 8x0,5",,WH,"0,5",2 m,=Q01+K1.B1-A3:1,=A02+K1.B1-X21-X21.1F:10,,,,,,,,
747,=Q01+I1-W413,"UNITRONIC? LiYCY (TP) 8x0,5",,BN,"0,5",2 m,=A02+K1.B1-X21-X21.1M:11,=Q01+S1-N1-X2:4,,,,,,,,
748,=Q01+K1-W413,"UNITRONIC? LiYCY (TP) 8x0,5",,BN,"0,5",2 m,=Q01+K1.B1-A3:2,=A02+K1.B1-X21-X21.1F:11,,,,,,,,
749,=Q01+I1-W413,"UNITRONIC? LiYCY (TP) 8x0,5",,GN,"0,5",2 m,=A02+K1.B1-X21-X21.1M:12,=Q01+S1-N1-X2:7,,,,,,,,
750,=Q01+K1-W413,"UNITRONIC? LiYCY (TP) 8x0,5",,GN,"0,5",2 m,=Q01+K1.B1-A3:5,=A02+K1.B1-X21-X21.1F:12,,,,,,,,
751,=Q01+I1-W413,"UNITRONIC? LiYCY (TP) 8x0,5",,YE,"0,5",2 m,=A02+K1.B1-X21-X21.1M:13,=Q01+S1-N1-X2:8,,,,,,,,
752,=Q01+K1-W413,"UNITRONIC? LiYCY (TP) 8x0,5",,YE,"0,5",2 m,=Q01+K1.B1-A3:6,=A02+K1.B1-X21-X21.1F:13,,,,,,,,
753,=Q01+I1-W413,"UNITRONIC? LiYCY (TP) 8x0,5",,GY,"0,5",2 m,=A02+K1.B1-X21-X21.1M:14,=Q01+S1-N1-X2:1,,,,,,,,
754,=Q01+K1-W413,"UNITRONIC? LiYCY (TP) 8x0,5",,GY,"0,5",2 m,=Q01+K1.B1-A2:1,=A02+K1.B1-X21-X21.1F:14,,,,,,,,
