id,FTID,belongtoDevice,Function,Location,Device,Type,description,voltage,current,resistance,isSocket,isSetPoint,isSensePoint
3392,=V01+S1-B3.1:8,V01+S1-B3.1,V01,S1,B3.1,Unknown,8,0,0,0,0,0,0
3394,=V01+S1-B3.1:SE,V01+S1-B3.1,V01,S1,B3.1,Unknown,SE,0,0,0,0,0,0
3396,=A02+K1.B1-X22-X22.3F:1,A02+K1.B1-X22-X22.3F,A02,K1.B1,X22-X22.3F,Terminal_Point,1,0,0,0,1,0,0
3397,=A02+K1.B1-X22-X22.3M:1,A02+K1.B1-X22-X22.3M,A02,K1.B1,X22-X22.3M,Terminal_Point,1,0,0,0,1,0,0
3398,=V01+S1-B3.2:1,V01+S1-B3.2,V01,S1,B3.2,Unknown,1,0,0,0,0,0,0
3399,=A02+K1.B1-X22-X22.3F:2,A02+K1.B1-X22-X22.3F,A02,K1.B1,X22-X22.3F,Terminal_Point,2,0,0,0,1,0,0
3401,=A02+K1.B1-X22-X22.3M:2,A02+K1.B1-X22-X22.3M,A02,K1.B1,X22-X22.3M,Terminal_Point,2,0,0,0,1,0,0
3402,=V01+S1-B3.2:2,V01+S1-B3.2,V01,S1,B3.2,Unknown,2,0,0,0,0,0,0
3403,=A02+K1.B1-X22-X22.3M:3,A02+K1.B1-X22-X22.3M,A02,K1.B1,X22-X22.3M,Terminal_Point,3,0,0,0,1,0,0
3404,=V01+S1-B3.2:6,V01+S1-B3.2,V01,S1,B3.2,Unknown,6,0,0,0,0,0,0
3405,=A02+K1.B1-X22-X22.3M:4,A02+K1.B1-X22-X22.3M,A02,K1.B1,X22-X22.3M,Terminal_Point,4,0,0,0,1,0,0
3406,=V01+S1-B3.2:8,V01+S1-B3.2,V01,S1,B3.2,Unknown,8,0,0,0,0,0,0
3408,=V01+S1-B3.2:SE,V01+S1-B3.2,V01,S1,B3.2,Unknown,SE,0,0,0,0,0,0
3409,=A02+K1.B1-X22-X22.3F:5,A02+K1.B1-X22-X22.3F,A02,K1.B1,X22-X22.3F,Terminal_Point,5,0,0,0,1,0,0
3410,=V01+K1.B1-A7:5,V01+K1.B1-A7,V01,K1.B1,A7,Unknown,5,0,0,0,0,0,0
3411,=V01+S1-B5.2:3,V01+S1-B5.2,V01,S1,B5.2,Unknown,3,0,0,0,0,0,0
3412,=A02+K1.B1-X22-X22.3M:5,A02+K1.B1-X22-X22.3M,A02,K1.B1,X22-X22.3M,Terminal_Point,5,0,0,0,1,0,0
3413,=A02+K1.B1-X22-X22.3F:6,A02+K1.B1-X22-X22.3F,A02,K1.B1,X22-X22.3F,Terminal_Point,6,0,0,0,1,0,0
3414,=V01+K1.B1-A7:6,V01+K1.B1-A7,V01,K1.B1,A7,Unknown,6,0,0,0,0,0,0
3415,=V01+S1-B5.2:7,V01+S1-B5.2,V01,S1,B5.2,Unknown,7,0,0,0,0,0,0
3416,=A02+K1.B1-X22-X22.3M:6,A02+K1.B1-X22-X22.3M,A02,K1.B1,X22-X22.3M,Terminal_Point,6,0,0,0,1,0,0
3419,=V01+K1.B1-K35:11,V01+K1.B1-K35,V01,K1.B1,K35,Unknown,11,0,0,0,0,0,0
3420,=V01+K1.B1-W6(-P2):X1:5,V01+K1.B1-W6(-P2),V01,K1.B1,W6(-P2),Unknown,X1:5,0,0,0,0,0,0
3421,=A02+K1.B1-X22-X22.3F:7,A02+K1.B1-X22-X22.3F,A02,K1.B1,X22-X22.3F,Terminal_Point,7,0,0,0,1,0,0
3422,=V01+K1.B1-K35:14,V01+K1.B1-K35,V01,K1.B1,K35,Unknown,14,0,0,0,0,0,0
3423,=V01+S1-B5.2:1,V01+S1-B5.2,V01,S1,B5.2,Unknown,1,0,0,0,0,0,0
3424,=A02+K1.B1-X22-X22.3M:7,A02+K1.B1-X22-X22.3M,A02,K1.B1,X22-X22.3M,Terminal_Point,7,0,0,0,1,0,0
3425,=V01+K1.B1-K36:11,V01+K1.B1-K36,V01,K1.B1,K36,Unknown,11,0,0,0,0,0,0
3426,=V01+K1.B1-W6(-P2):X1:6,V01+K1.B1-W6(-P2),V01,K1.B1,W6(-P2),Unknown,X1:6,0,0,0,0,0,0
3427,=A02+K1.B1-X22-X22.3F:8,A02+K1.B1-X22-X22.3F,A02,K1.B1,X22-X22.3F,Terminal_Point,8,0,0,0,1,0,0
3428,=V01+K1.B1-K36:14,V01+K1.B1-K36,V01,K1.B1,K36,Unknown,14,0,0,0,0,0,0
