connection_number,source_name,source_location,source_type,target_name,target_location,target_type,wire_color
1070,=Q15+K1.H2-F12:14,,panel,=V01+K1.B1-A2:3,,PLC,BU
1070,=V01+K1.B1-A2:3,,PLC,=Q15+K1.H2-F12:14,,panel,BU
1071,=V01+K1.B1-A2:4,,PLC,=V01+K1.B1-A2:3,,PLC,BU
1071,=V01+K1.B1-A2:3,,PLC,=V01+K1.B1-A2:4,,PLC,BU
1072,=Q15+K1.B1-K22:A2,,panel,=V01+K1.B1-W5(-P2):P2:1,,panel,BU
1072,=V01+K1.B1-W5(-P2):P2:1,,panel,=Q15+K1.B1-K22:A2,,panel,BU
1073,=Q15+K1.B1-K22:A1,,panel,=V01+K1.B1-A1:2,,PLC,BU
1073,=V01+K1.B1-A1:2,,PLC,=Q15+K1.B1-K22:A1,,panel,BU
1074,=Q15+K1.B1-K22:12,,panel,=V01+K1.B1-W5(-P1):P1:1,,panel,BU
1074,=V01+K1.B1-W5(-P1):P1:1,,panel,=Q15+K1.B1-K22:12,,panel,BU
1075,=Q15+K1.G1-G2:REMOTE I/O:8,,panel,=Q15+K1.B1-A22:X1:8,,PLC,BK
1075,=Q15+K1.B1-A22:X1:8,,PLC,=Q15+K1.G1-G2:REMOTE I/O:8,,panel,BK
1076,=Q15+K1.B1-A22:X2:8,,PLC,=Q15+K1.B1-K22:11,,panel,BU
1076,=Q15+K1.B1-K22:11,,panel,=Q15+K1.B1-A22:X2:8,,PLC,BU
1077,=Q15+K1.B1-K2:A2,,panel,=V01+K1.B1-W5(-P2):P2:1,,panel,BU
1077,=V01+K1.B1-W5(-P2):P2:1,,panel,=Q15+K1.B1-K2:A2,,panel,BU
1078,=Q15+K1.B1-K2:A1,,panel,=S02+K1.B1-A1:3,,PLC,BU
1078,=S02+K1.B1-A1:3,,PLC,=Q15+K1.B1-K2:A1,,panel,BU
1079,=Q15+K1.G1-G2:REMOTE I/O:14,,panel,=Q15+K1.B1-A22:X1:14,,PLC,VT
1079,=Q15+K1.B1-A22:X1:14,,PLC,=Q15+K1.G1-G2:REMOTE I/O:14,,panel,VT
108,=A01+K1.H2-K1:3,,panel,=A01+K1.H2-W0:L2,,panel,BK
108,=A01+K1.H2-W0:L2,,panel,=A01+K1.H2-K1:3,,panel,BK
1080,=Q15+K1.B1-K2:11,,panel,=Q15+K1.B1-A22:X2:14,,PLC,BU
1080,=Q15+K1.B1-A22:X2:14,,PLC,=Q15+K1.B1-K2:11,,panel,BU
1081,=Q15+K1.B1-A22:X2:13,,PLC,=Q15+K1.B1-K2:14,,panel,BU
1081,=Q15+K1.B1-K2:14,,panel,=Q15+K1.B1-A22:X2:13,,PLC,BU
1082,=Q15+K1.G1-G2:REMOTE I/O:13,,panel,=Q15+K1.B1-A22:X1:13,,PLC,GYPK
1082,=Q15+K1.B1-A22:X1:13,,PLC,=Q15+K1.G1-G2:REMOTE I/O:13,,panel,GYPK
1084,=Q15+K1.G1-G2:REMOTE I/O:6,,panel,=Q15+K1.B1-A22:X1:6,,PLC,WH
1084,=Q15+K1.B1-A22:X1:6,,PLC,=Q15+K1.G1-G2:REMOTE I/O:6,,panel,WH
1085,=Q15+K1.G1-G2:REMOTE I/O:7,,panel,=Q15+K1.B1-A22:X1:7,,PLC,BN
1085,=Q15+K1.B1-A22:X1:7,,PLC,=Q15+K1.G1-G2:REMOTE I/O:7,,panel,BN
1086,=Q15+K1.G1-G2:REMOTE I/O:18,,panel,=Q15+K1.B1-A22:X1:18,,PLC,GN
1086,=Q15+K1.B1-A22:X1:18,,PLC,=Q15+K1.G1-G2:REMOTE I/O:18,,panel,GN
1087,=Q15+K1.G1-G2:REMOTE I/O:19,,panel,=Q15+K1.B1-A22:X1:19,,PLC,YE
1087,=Q15+K1.B1-A22:X1:19,,PLC,=Q15+K1.G1-G2:REMOTE I/O:19,,panel,YE
1088,=Q15+K1.G1-G2:REMOTE I/O:5,,panel,=Q15+K1.B1-A22:X1:5,,PLC,GY
1088,=Q15+K1.B1-A22:X1:5,,PLC,=Q15+K1.G1-G2:REMOTE I/O:5,,panel,GY
1089,=Q15+K1.G1-G2:REMOTE I/O:4,,panel,=Q15+K1.B1-A22:X1:4,,PLC,PK
1089,=Q15+K1.B1-A22:X1:4,,PLC,=Q15+K1.G1-G2:REMOTE I/O:4,,panel,PK
