id,connNo,source,target,color,isCable,isInPanel,connType,voltage,current,resistance
115,121,=A02+K1.H2-W2:2L2,=A02+K1.H2-W2.1:2L2,,0,1,外部连接,0.0,0.0,0.0
116,122,=A02+K1.H2-W2:2L1,=A02+K1.H2-W2.1:2L1,,0,1,外部连接,0.0,0.0,0.0
117,123,=A02+K1.H1-G2:+V,=A02+K1.B1-V1(0):1,,0,1,外部连接,0.0,0.0,0.0
118,124,=A02+K1.H2-Q1:L1,=A02+K1.H2-W1:1L1,,0,1,外部连接,0.0,0.0,0.0
119,125,=A02+K1.H2-W1:1L2,=A02+K1.H2-Q1:L2,,0,1,外部连接,0.0,0.0,0.0
120,126,=A02+K1.H2-W1:1L3,=A02+K1.H2-Q1:L3,,0,1,外部连接,0.0,0.0,0.0
121,127,=A02+K1.H1-G2:-V,=A02+K1.B1-W6(-P2):P2:1,,0,1,外部连接,0.0,0.0,0.0
122,128,=A02+K1.H2-X6:PE:2,=A02+K1.H1-G2:PE,,0,1,外部连接,0.0,0.0,0.0
123,129,=A02+K1.H1-G2:-V',=A02+K1.H2-X6:PE:1,,0,1,外部连接,0.0,0.0,0.0
124,130,=A02+K1.H2-F2:2,=A02+K1.B1-X200:L,,0,1,外部连接,0.0,0.0,0.0
125,131,=A01+K1.H2-W0:L1,=A02+K1.H2-F2:1,,0,1,外部连接,0.0,0.0,0.0
126,132,=A02+K1.H2-X5:2:1,=A02+K1.B1-X200:N,,0,1,外部连接,0.0,0.0,0.0
127,133,=A02+K1.H2-X6:4:1,=A02+K1.B1-X200:PE,,0,1,外部连接,0.0,0.0,0.0
128,134,=A02+K1.H1-K1:2,=A02+K1.A1-X21:L,,0,1,外部连接,0.0,0.0,0.0
129,135,=A02+K1.H1-K1:2,=A02+K1.H1-K1:4,,0,1,外部连接,0.0,0.0,0.0
130,136,=A02+K1.H1-K1:4,=A02+K1.H1-K1:6,,0,1,外部连接,0.0,0.0,0.0
131,137,=A02+K1.A1-X21:N,=A02+K1.H2-X22:N,,0,1,外部连接,0.0,0.0,0.0
132,138,=A02+K1.H2-X22:N,=A02+K1.H2-F3.1:4/3,,0,1,外部连接,0.0,0.0,0.0
133,139,=A02+K1.H2-X6:PE:2,=A02+K1.A1-X21:PE,,0,1,外部连接,0.0,0.0,0.0
134,140,=A02+K1.H1-K1:3,=A02+K1.H1-K1:5,,0,1,外部连接,0.0,0.0,0.0
135,141,=A02+K1.H1-K1:1,=A02+K1.H1-K1:3,,0,1,外部连接,0.0,0.0,0.0
136,142,=A02+K1.H1-K1:1,=A02+K1.H2-F3.1:2/1,,0,1,外部连接,0.0,0.0,0.0
137,143,=A02+K1.H2-F3.1:2/1,=A02+K1.H2-X22:L,,0,1,外部连接,0.0,0.0,0.0
138,144,=A02+K1.H2-F3:2,=A02+K1.H2-F3.1:1/2,,0,1,外部连接,0.0,0.0,0.0
139,145,=A01+K1.H2-W0:L2,=A02+K1.H2-F3:1,,0,1,外部连接,0.0,0.0,0.0
140,146,=A02+K1.H2-X22:PE,=A02+K1.H2-X6:PE:2,,0,1,外部连接,0.0,0.0,0.0
141,147,=A02+K1.H2-F3.1:3/4,=A02+K1.H2-X5:N:1,,0,1,外部连接,0.0,0.0,0.0
142,148,=A02+K1.H1-K1:A2,=A02+K1.B1-W5(-P2):P2:1,,0,1,外部连接,0.0,0.0,0.0
143,149,=A02+K1.B1-A1:2,=A02+K1.H1-K1:A1,,0,1,外部连接,0.0,0.0,0.0
144,150,=A02+K1.E1-S1:14,=A02+K1.B1-X9:2:5,,0,1,外部连接,0.0,0.0,0.0
145,151,=A02+K1.B1-X9:1:4,=A02+K1.E1-S1:13,,0,1,外部连接,0.0,0.0,0.0
146,152,=A02+K1.H2-F4:2,=A02+K1.B1-X9:1:3,,0,1,外部连接,0.0,0.0,0.0
147,153,=A01+K1.H2-W0:L1,=A02+K1.H2-F4:1,,0,1,外部连接,0.0,0.0,0.0
148,154,=A02+K1.B1-X9:2:2,=A02+K1.B1-X9:3:3,,0,1,外部连接,0.0,0.0,0.0
149,155,=A02+K1.E1-S2:14,=A02+K1.B1-X9:4:5,,0,1,外部连接,0.0,0.0,0.0
150,156,=A02+K1.B1-X9:3:4,=A02+K1.E1-S2:13,,0,1,外部连接,0.0,0.0,0.0
151,157,=A02+K1.B1-X9:4:2,=A02+K1.B1-X9:5:3,,0,1,外部连接,0.0,0.0,0.0
152,158,=A02+K1.E1-S3:14,=A02+K1.B1-X9:6:5,,0,1,外部连接,0.0,0.0,0.0
153,159,=A02+K1.B1-X9:5:4,=A02+K1.E1-S3:13,,0,1,外部连接,0.0,0.0,0.0
154,160,=A02+K1.B1-X9:6:2,=A02+K1.B1-X9:7:3,,0,1,外部连接,0.0,0.0,0.0
155,161,=A02+K1.B1-X9:7:4,=A02+K1.A1-M1:X1:L1,,0,1,外部连接,0.0,0.0,0.0
156,162,=A02+K1.A1-M1:X1:N,=A02+K1.B1-X9:8:5,,0,1,外部连接,0.0,0.0,0.0
157,163,=A02+K1.A1-M1:X1:PE,=A02+K1.B1-X9:PE:1,,0,1,外部连接,0.0,0.0,0.0
158,164,=A02+K1.H2-X5:N:2,=A02+K1.B1-X9:8:2,,0,1,外部连接,0.0,0.0,0.0
164,170,=A02+K1.H2-X6:PE:2,=A02+K1.B1-X100:1:1,,0,1,外部连接,0.0,0.0,0.0
165,171,=A02+K1.H2-X6:PE:2,=A02+K1.B1-X100:2:1,,0,1,外部连接,0.0,0.0,0.0
166,172,=A02+K1.H2-X6:PE:2,=A02+K1.B1-X100:3:1,,0,1,外部连接,0.0,0.0,0.0
167,173,=A02+K1.H2-X6:PE:2,=A01+K1.I1-X1:1,,0,1,外部连接,0.0,0.0,0.0
169,175,=A02+K1.H2-W20:SE,=A02+K1.H1-W21:SE,,0,1,外部连接,0.0,0.0,0.0
170,176,=A02+K1.B1-W22:SE,=A02+K1.H1-W21:SE,,0,1,外部连接,0.0,0.0,0.0
171,177,=A02+K1.H1-W21:SE,=A02+K1.H1-W12:SE,,0,1,外部连接,0.0,0.0,0.0
172,178,=A02+K1.B1-W10:SE,=A02+K1.B1-W22:SE,,0,1,外部连接,0.0,0.0,0.0
