Consecutive number,"Connection
device identifier(full)","cable
Type/connections number/RCS",Connection: Type designation,Connection color / number,Connection: Cross-section / diameter,Length (full),"Device (source)
Name of target connection point (full)","Device (target)
Name of target connection point (full)",Wire termination processing source,Wire termination processing target,Routing direction source,Routing direction target,Bundle,Layout space: Routing track,Connection designation,Remark
568,=O02+K1-W311,UNITRONIC® LiYCY (TP) 8x0.25,,PK,"0,25",5 m,=A02+K1.B1-X21-X21.2F:6,=O02+K1.H1-A20-X2:6,,,,,,,,
569,=O02+I1-W311,UNITRONIC® LiYCY (TP) 8x0.25,,PK,"0,25",5 m,=O02+S1-B4:6,=A02+K1.B1-X21-X21.2M:6,,,,,,,,
570,=O02+K1-W311,UNITRONIC® LiYCY (TP) 8x0.25,,RD,"0,25",5 m,=A02+K1.B1-X21-X21.2F:7,=O02+K1.H1-A20-X2:4,,,,,,,,
571,=O02+I1-W311,UNITRONIC® LiYCY (TP) 8x0.25,,RD,"0,25",5 m,=O02+S1-B4:7,=A02+K1.B1-X21-X21.2M:7,,,,,,,,
572,=O02+K1-W311,UNITRONIC® LiYCY (TP) 8x0.25,,BU,"0,25",5 m,=A02+K1.B1-X21-X21.2F:8,=O02+K1.H1-A20-X2:5,,,,,,,,
573,=O02+I1-W311,UNITRONIC® LiYCY (TP) 8x0.25,,BU,"0,25",5 m,=O02+S1-B4:8,=A02+K1.B1-X21-X21.2M:8,,,,,,,,
574,=O02+K1-W311,UNITRONIC® LiYCY (TP) 8x0.25,,,,,=O02+K1-W311,=A02+K1.H1-W10:SE,,,,,,,,
575,=O02+I1-W311,UNITRONIC® LiYCY (TP) 8x0.25,,,,,=O02+I1-W311,=O02+S1-B4:9,,,,,,,,
576,=A02+I1-W303,"UNITRONIC® LiYY 25x0,25",,BU,"0,25",10 m,=A02+K1.B1-X20-X20.1M:7,=A02+S1-A21-X1:7,,,,,,,,
577,=+,,H05V-K,BU,"0,5",,=O01+K1.B1-A1:10,=A02+K1.B1-X20-X20.1F:7,,,,,,,,
578,=A02+I1-W303,"UNITRONIC® LiYY 25x0,25",,RD,"0,25",10 m,=A02+K1.B1-X20-X20.1M:8,=A02+S1-A21-X1:8,,,,,,,,
579,=+,,H05V-K,BU,"0,5",,=O01+K1.B1-A1:11,=A02+K1.B1-X20-X20.1F:8,,,,,,,,
580,=+,,H05V-K,BU,"0,5",,=O02+K1.H1-A20-X3:5,=O01+K1.B1-W5(-P2):P2:1,,,,,,,,
581,=O02+K1-W313,"UNITRONIC LiYCY 3x0,5",,WH,"0,5",,=O02+K1.H1-A20-X3:3,=O01+K1.B1-A2:1,,,,,,,,
582,=O02+K1-W313,"UNITRONIC LiYCY 3x0,5",,BN,"0,5",,=O02+K1.H1-A20-X3:1,=O01+K1.B1-A2:5,,,,,,,,
583,=O02+K1-W313,"UNITRONIC LiYCY 3x0,5",,GN,"0,5",,=O02+K1.H1-A20-X3:7,=O01+K1.B1-A2:4,,,,,,,,
584,=P01+K1-W101,"Netzkabel-Gerät 3x0,75",,BK,"0,75",,=P01+K1.G1-D1:L,=P01+K1.G1-E1:X1:L,,,,,,,,
585,=P01+K1-W100,"Netzkabel 3x0,75",,BN,"0,75",,=P01+K1.G1-E1:X0:L,=A01+K1.B1-X20:L,,,,,,,,
586,=P01+K1-W101,"Netzkabel-Gerät 3x0,75",,BU,"0,75",,=P01+K1.G1-D1:N,=P01+K1.G1-E1:X1:N,,,,,,,,
587,=P01+K1-W100,"Netzkabel 3x0,75",,BU,"0,75",,=P01+K1.G1-E1:X0:N,=A01+K1.B1-X20:N,,,,,,,,
588,=P01+K1-W101,"Netzkabel-Gerät 3x0,75",,GNYE,"0,75",,=P01+K1.G1-D1:PE,=P01+K1.G1-E1:X1:PE,,,,,,,,
589,=P01+K1-W100,"Netzkabel 3x0,75",,GNYE,"0,75",,=P01+K1.G1-E1:X0:PE,=A01+K1.B1-X20:PE,,,,,,,,
590,=P01+K1-W503,,,4-pol. USB,,,=P01+K1.G1-D1:USB1,=P01+K1.G1-E1:USB,,,,,,,,
591,=P01+K1-W507,,,4-pol. USB,,,=P01+K1.G1-D1:USB3,=P01+K1.G2-X1,,,,,,,,
592,=+,,H05V-K,BU,"0,5",,=P01+K1.G2-X1:USB A,=P01+K1.G2-X1,,,,,,,,
593,=P01+K1-W509,,,4-pol. USB,,,=P01+K1.G1-D1:MOUSE,=P01+K1.G2-X2,,,,,,,,
594,=+,,H05V-K,BU,"0,5",,=P01+K1.G2-X2:USB A,=P01+K1.G2-X2,,,,,,,,
595,=P01+K1-W102,"Netzkabel-Gerät 3x0,75",,BK,"0,75",,=P01+K1.G2-P1:L,=P01+K1.G1-E1:X2:L,,,,,,,,
596,=P01+K1-W102,"Netzkabel-Gerät 3x0,75",,BU,"0,75",,=P01+K1.G2-P1:N,=P01+K1.G1-E1:X2:N,,,,,,,,
597,=P01+K1-W102,"Netzkabel-Gerät 3x0,75",,GNYE,"0,75",,=P01+K1.G2-P1:PE,=P01+K1.G1-E1:X2:PE,,,,,,,,
598,=+,,H07V-K,GNYE,"2,5",,=A02+K1.H2-X6:PE:2,=+:PE,,,,,,,,
599,=A02+K1-W530,Cat-5e Patchkabel 1x0.10,,GN,"0,10",3 m,=A02+K1.A1-X21:Ethernet,=P01+K1.G1-D1:RJ45,,,,,,,,
600,=P01+K1-W103,"ÖLFLEX® CLASSIC 110 3x0,5 mm²",,1,0.5,,=P01+K1.B1-X9:1:4,=P01+K1.H1-D2:X101:24V+,,,,,,,,
601,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-V1:2.1,=P01+K1.B1-X9:1:3,,,,,,,,
602,=+,,H05V-K,BU,"0,5",,=A01+K1.B1-W7(-P1):P1:2,=P01+K1.B1-V1:1.1,,,,,,,,
603,=P01+K1-W103,"ÖLFLEX® CLASSIC 110 3x0,5 mm²",,2,0.5,,=P01+K1.B1-X9:2:5,=P01+K1.H1-D2:X101:GND,,,,,,,,
604,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-X9:2:2,=A01+K1.B1-W7(-P2):P2:2,,,,,,,,
605,=+,,H05V-K,BU,"0,5",,=A01+K1.B1-W7(-P2):P2:2,=P01+K1.B1-V1:3.1,,,,,,,,
606,=P01+K1-W513,Cat-5 Patchkabel,,GN,"0,25",1 m,=P01+K1.H1-D2:X102:1,=P01+K1.G1-D1:RJ45,,,,,,,,
607,=+,,H05V-K,BU,"0,5",,=A01+K1.B1-W7(-P1):P1:1,=P01+K1.B1-A0.10:US:1,,,,,,,,
608,=P01+K1-W514,,,GN,"0,25",1 m,=P01+K1.B1-A0.10:1:1,=P01+K1.G1-D1:RJ45,,,,,,,,
609,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-A0.10:US:2,=A01+K1.B1-W7(-P2):P2:1,,,,,,,,
610,=P01+K1-W515,Cat-5 Patchkabel,,GN,"0,25",1 m,=P01+K1.B1-A0.10:2:2,=P01+K1.H1-D2:X104:1,,,,,,,,
611,=+,,H05V-K,BU,"0,5",,=A02+K1.H2-X6:PE:2,=P01+K1.B1-A0.10:US:3,,,,,,,,
612,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-A0.0:1,=A01+K1.B1-W7(-P1):X3:5,,,,,,,,
613,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-A0.0:5,=A01+K1.B1-W7(-P2):X4:7,,,,,,,,
614,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-A0.0:2,=A02+K1.B1-W5(-P1):X3:6,,,,,,,,
615,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-A0.0:7,=A02+K1.B1-W5(-P2):X4:8,,,,,,,,
616,=P01+K1-W510,Cat-5 Patchkabel,,GN,"0,25",1 m,=P01+K1.B1-A0.0:EtherCAT IN,=P01+K1.H1-D2:X103:1,,,,,,,,
617,=P01+K1-W511,"Cat-5 Patchkabel 2x4x0,14 mm²",,GN,"0,25",1 m,=P01+K1.B1-A0:EtherCAT IN,=P01+K1.B1-A0.0:EtherCAT OUT,,,,,,,,
618,=F01+I1-W541,Cat-5 Patchkabel 2x4x0.14,,GN,"0,10",0.5 m,=F01+S1-N1.123:EtherCAT IN,=F01+K1.D2-X11:1,,,,,,,,
619,=+,,,,,,=F01+K1.D2-X11:1,=F01+K1.D2-X11:1,,,,,,,,
620,=F01+K1-W541,Cat-5 Patchkabel 2x4x0.14,,GN,"0,10",0.5 m,=F01+K1.D2-X11:1,=P01+K1.B1-A0.2:EtherCAT X2,,,,,,,,
621,=M01+K1-W540,"Cat-5 Patchkabel 2x4x0,14 mm²",,GN,"0,10",3 m,=M01+K1.H1-U1:IN:1-8,=P01+K1.B1-A0.2:EtherCAT X1,,,,,,,,
622,=F01+S1-W543,"Cat-5 Patchkabel 2x4x0,14",,GN,"0,10",0.5 m,=F01+S1-N2:EtherCAT IN,=F01+S1-N1.123:EtherCAT OUT,,,,,,,,
623,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-A0:1,=A01+K1.B1-W7(-P1):X3:5,,,,,,,,
624,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-A0:5,=A01+K1.B1-W7(-P2):X4:7,,,,,,,,
625,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-A0:2,=A02+K1.B1-W5(-P1):X3:6,,,,,,,,
626,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-W5(-P2):X4:8,=P01+K1.B1-A0:7,,,,,,,,
627,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-T1:1,=A01+K1.B1-W7(-P1):X3:5,,,,,,,,
628,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-T1:5,=A01+K1.B1-W7(-P2):X4:7,,,,,,,,
629,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-T1:2,=A02+K1.B1-W5(-P1):X3:6,,,,,,,,
630,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-T1:3,=A02+K1.B1-W5(-P2):X4:8,,,,,,,,
631,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-T2:1,=A01+K1.B1-W7(-P1):X3:5,,,,,,,,
632,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-T2:5,=A01+K1.B1-W7(-P2):X4:7,,,,,,,,
633,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-T2:2,=A02+K1.B1-W5(-P1):X3:6,,,,,,,,
634,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-T2:3,=A02+K1.B1-W5(-P2):X4:8,,,,,,,,
635,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-X9:3:4,=A02+K1.B1-W5(-P1):P1,,,,,,,,
636,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-X9:4:5,=Q01+K1.B1-X9:33:4,,,,,,,,
637,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-X9:5:4,=Q01+K1.B1-X9:41:4,,,,,,,,
638,=+,,H05V-K,BU,"0,5",,=P01+K1.B1-X9:7:4,=A02+K1.B1-K21:71,,,,,,,,
639,=P01+I1-W430,UNITRONIC® LiYCY 12x0.5 mm²,,1-15,0.5,2 m,=P01+K1.G2-X3:1-15,=P01+S1-A50:X1.1-15,,,,,,,,
640,=+,,H05V-K,BU,"0,5",,=P01+S1-A50-X1:1,=P01+S1-A50-S6:13,,,,,,,,
641,=+,,H05V-K,BU,"0,5",,=P01+S1-A50-S1:14,=P01+S1-A50-X1:2,,,,,,,,
642,=+,,H05V-K,BU,"0,5",,=P01+S1-A50-S1:13,=P01+S1-A50-S2:13,,,,,,,,
643,=+,,H05V-K,BU,"0,5",,=P01+S1-A50-S6:14,=P01+S1-A50-S2:13,,,,,,,,
644,=+,,H05V-K,BU,"0,5",,=P01+S1-A50-S6:14,=P01+S1-A50-S3:13,,,,,,,,
645,=+,,H05V-K,BU,"0,5",,=P01+S1-A50-S3:13,=P01+S1-A50-S4:13,,,,,,,,
646,=+,,H05V-K,BU,"0,5",,=P01+S1-A50-S4:13,=P01+S1-A50-S5:11,,,,,,,,
647,=+,,H05V-K,BU,"0,5",,=P01+S1-A50-S2:14,=P01+S1-A50-X1:3,,,,,,,,
648,=+,,H05V-K,BU,"0,5",,=P01+S1-A50-S3:14,=P01+S1-A50-X1:4,,,,,,,,
649,=+,,H05V-K,BU,"0,5",,=P01+S1-A50-S4:14,=P01+S1-A50-X1:5,,,,,,,,
650,=+,,H05V-K,BU,"0,5",,=P01+S1-A50-S5:14,=P01+S1-A50-X1:6,,,,,,,,
651,=+,,H05V-K,BU,"0,5",,=P01+S1-A50-S5:12,=P01+S1-A50-X1:7,,,,,,,,
652,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-K21:72,=A02+K1.B1-A3:12,,,,,,,,
653,=Q01+I1-W100,H07V-K 1x16 mm²,,GNYE,"16,00",5 m,=A01+S1-W0,=Q01+K1.G1-G1:PE,,,,,,,,
654,=Q01+K1-W106,ÖLFLEX® CLASSIC 110 4x4 mm²,,1,4,,=Q01+K1.B1-X20:1:2,=Q01+K1.G1-G1:A,,,,,,,,
655,=+,,H07V-K,BK,4,,=Q01+K1.H2-Q1:T1,=Q01+K1.B1-X20:1:1,,,,,,,,
656,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W2:2L1,=Q01+K1.H2-Q1:L1,,,,,,,,
657,=Q01+K1-W106,ÖLFLEX® CLASSIC 110 4x4 mm²,,2,4,,=Q01+K1.B1-X20:2:2,=Q01+K1.G1-G1:B,,,,,,,,
658,=+,,H07V-K,BK,4,,=Q01+K1.H2-Q1:T2,=Q01+K1.B1-X20:2:1,,,,,,,,
659,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W2:2L2,=Q01+K1.H2-Q1:L2,,,,,,,,
660,=Q01+K1-W106,ÖLFLEX® CLASSIC 110 4x4 mm²,,3,4,,=Q01+K1.B1-X20:3:2,=Q01+K1.G1-G1:C,,,,,,,,
661,=+,,H07V-K,BK,4,,=Q01+K1.H2-Q1:T3,=Q01+K1.B1-X20:3:1,,,,,,,,
662,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W2:2L3,=Q01+K1.H2-Q1:L3,,,,,,,,
663,=Q01+K1-W106,ÖLFLEX® CLASSIC 110 4x4 mm²,,GNYE,4,,=Q01+K1.B1-X20:PE:1,=Q01+K1.G1-G1:PE,,,,,,,,
664,=+,,H07V-K,GNYE,4,,=A02+K1.H2-X6:3:2,=Q01+K1.B1-X20:PE:2,,,,,,,,
665,=Q01+S1-W101,H07V-K 1x16 mm²,,GNYE,16,,=A01+S1-W0,=Q01+S1-N1:PE,,,,,,,,
666,=Q01+I1-W102,"Coaxial - RG 1x2,25",,Schirm2,,,=A02+K1-W30:SE,=A02+K1-W30:SE,,,,,,,,
667,=Q01+I1-W102,"Coaxial - RG 1x2,25",,RG 213,"0,00",5 m,=Q01+S1-N1:X7.1,=Q01+K1.G1-G1:A,,,,,,,,
668,=Q01+I1-W102,"Coaxial - RG 1x2,25",,Schirm1,,,=Q01+S1-N1:X7.S,=Q01+S1-N4:X7.S,,,,,,,,
669,=Q01+S1-W103,H07V-K 1x16 mm²,,GNYE,"16,00",,=Q01+S1-N4:PE,=A01+S1-W0,,,,,,,,
670,=Q01+I1-W104,"Coaxial - RG 1x2,25 mm²",,RG 213,"0,00",5 m,=Q01+S1-N4:X7.1,=Q01+K1.G1-G1:B,,,,,,,,
671,=Q01+I1-W104,"Coaxial - RG 1x2,25 mm²",,Schirm1,,,=Q01+I1-W104:Schirm1,=Q01+K1.G1-G1:B.S,,,,,,,,
672,=Q01+I1-W105,"Coaxial - RG 1x2,25 mm²",,Schirm2,,,=A02+K1-W30:SE,=Q01+I1-W105:Schirm2,,,,,,,,
673,=Q01+I1-W105,"Coaxial - RG 1x2,25 mm²",,RG 213,"0,00",3 m,=Q01+S1-X100:1:1,=Q01+K1.G1-G1:GND,,,,,,,,
674,=+,,H05V-K,BU,"0,5",,=Q01+K1.H2-Q1:14,=Q01+K1.B1-A1:1,,,,,,,,
675,=Q01+I1-W105,"Coaxial - RG 1x2,25 mm²",,Schirm1,,,=Q01+K1.G1-G1:GND.S,=Q01+S1-X100:G,,,,,,,,
676,=Q01+K1-W340,"ÖLFLEX® CLASSIC 110 3x0,75 mm²",,1,0.75,,=Q01+K1.B1-X9:1:4,=Q01+K1.G1-G1:J2.1,,,,,,,,
677,=+,,H05V-K,,,,=Q01+K1.B1-X9:1:3,=Q01+K1.B1-X9:2:2,,,,,,,,
678,=Q01+K1-W340,"ÖLFLEX® CLASSIC 110 3x0,75 mm²",,2,0.75,,=Q01+K1.B1-X9:2:5,=Q01+K1.G1-G1:J2.2,,,,,,,,
679,=Q01+K1-W407,"UNITRONIC® LiYCY (TP) 6x0,5",,Schirm,,,=Q01+K1.G1-G1:J3.CASE,=A02+K1.B1-W11:SE,,,,,,,,
680,=Q01+K1-W407,"UNITRONIC® LiYCY (TP) 6x0,5",,WH,"0,5",4.5 m,=Q01+K1.B1-A10:7,=Q01+K1.G1-G1:J3.1,,,,,,,,
681,=Q01+K1-W407,"UNITRONIC® LiYCY (TP) 6x0,5",,BN,"0,5",4.5 m,=Q01+K1.B1-A10:8,=Q01+K1.G1-G1:J3.2,,,,,,,,
682,=Q01+K1-W407,"UNITRONIC® LiYCY (TP) 6x0,5",,GN,"0,5",4.5 m,=Q01+K1.B1-A11:3,=Q01+K1.G1-G1:J3.5,,,,,,,,
683,=Q01+K1-W407,"UNITRONIC® LiYCY (TP) 6x0,5",,YE,"0,5",4.5 m,=Q01+K1.B1-A11:4,=Q01+K1.G1-G1:J3.6,,,,,,,,
684,=Q01+K1-W407,"UNITRONIC® LiYCY (TP) 6x0,5",,GY,"0,5",4.5 m,=Q01+K1.B1-A11:7,=Q01+K1.G1-G1:J3.7,,,,,,,,
685,=Q01+K1-W407,"UNITRONIC® LiYCY (TP) 6x0,5",,PK,"0,5",4.5 m,=Q01+K1.B1-A11:8,=Q01+K1.G1-G1:J3.9,,,,,,,,
686,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-W5(-P2):P2:1,=Q01+K1.B1-X9:4:5,,,,,,,,
687,=Q01+K1-W308,UNITRONIC® LiYCY (TP) 12x0.25,,Schirm,"0,00",,=Q01+K1.G1-G1:J4.CASE,=A02+K1.B1-W9:SE,,,,,,,,
688,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-X9:3:4,=Q01+K1.B1-A1:9,,,,,,,,
689,=Q01+K1-W308,UNITRONIC® LiYCY (TP) 12x0.25,,WH,0.25,3.5 m,=Q01+K1.G1-G1:J4.1,=Q01+K1.B1-X9:3:3,,,,,,,,
690,=Q01+K1-W308,UNITRONIC® LiYCY (TP) 12x0.25,,BN,0.25,3.5 m,=Q01+K1.G1-G1:J4.2,=Q01+K1.B1-X9:4:2,,,,,,,,
691,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-X9:5:4,=Q01+K1.B1-A1:2,,,,,,,,
692,=Q01+K1-W308,UNITRONIC® LiYCY (TP) 12x0.25,,GN,"0,25",3.5 m,=Q01+K1.G1-G1:J4.5,=Q01+K1.B1-X9:5:3,,,,,,,,
693,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-X9:6:5,=Q01+K1.B1-W5(-P1):X1:1,,,,,,,,
694,=Q01+K1-W308,UNITRONIC® LiYCY (TP) 12x0.25,,YE,"0,25",3.5 m,=Q01+K1.G1-G1:J4.6,=Q01+K1.B1-X9:6:2,,,,,,,,
695,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-X9:7:4,=Q01+K1.B1-A1:3,,,,,,,,
696,=Q01+K1-W308,UNITRONIC® LiYCY (TP) 12x0.25,,PK,"0,25",3.5 m,=Q01+K1.G1-G1:J4.7,=Q01+K1.B1-X9:7:3,,,,,,,,
697,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-X9:8:5,=Q01+K1.B1-W5(-P1):X1:2,,,,,,,,
698,=Q01+K1-W308,UNITRONIC® LiYCY (TP) 12x0.25,,GY,"0,25",3.5 m,=Q01+K1.G1-G1:J4.8,=Q01+K1.B1-X9:8:2,,,,,,,,
699,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-X9:9:4,=Q01+K1.B1-A1:4,,,,,,,,
700,=Q01+K1-W308,UNITRONIC® LiYCY (TP) 12x0.25,,GYPK,"0,25",3.5 m,=Q01+K1.G1-G1:J4.9,=Q01+K1.B1-X9:9:3,,,,,,,,
701,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-X9:10:5,=Q01+K1.B1-W5(-P1):X1:3,,,,,,,,
702,=Q01+K1-W308,UNITRONIC® LiYCY (TP) 12x0.25,,RDBU,"0,25",3.5 m,=Q01+K1.G1-G1:J4.10,=Q01+K1.B1-X9:10:2,,,,,,,,
703,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-X9:11:4,=Q01+K1.B1-A1:5,,,,,,,,
704,=Q01+K1-W308,UNITRONIC® LiYCY (TP) 12x0.25,,RD,"0,25",3.5 m,=Q01+K1.G1-G1:J4.11,=Q01+K1.B1-X9:11:3,,,,,,,,
705,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-X9:12:5,=Q01+K1.B1-W5(-P1):X1:4,,,,,,,,
706,=Q01+K1-W308,UNITRONIC® LiYCY (TP) 12x0.25,,BU,"0,25",3.5 m,=Q01+K1.G1-G1:J4.12,=Q01+K1.B1-X9:12:2,,,,,,,,
707,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-X9:13:4,=Q01+K1.B1-A1:6,,,,,,,,
708,=Q01+K1-W308,UNITRONIC® LiYCY (TP) 12x0.25,,BK,"0,25",3.5 m,=Q01+K1.G1-G1:J4.13,=Q01+K1.B1-X9:13:3,,,,,,,,
709,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-X9:14:5,=Q01+K1.B1-W5(-P1):X1:5,,,,,,,,
710,=Q01+K1-W308,UNITRONIC® LiYCY (TP) 12x0.25,,VT,"0,25",3.5 m,=Q01+K1.G1-G1:J4.14,=Q01+K1.B1-X9:14:2,,,,,,,,
711,=+,,,,,,=Q01+K1.D2-X1:1,=Q01+K1.D2-X1:1,,,,,,,,
712,=Q01+I1-W109,ÖLFLEX® CLASSIC 110 3x1.5 mm²,,1,"1,5",8 m,=Q01+K1.D2-X1:1,=Q01+S1-N1:X0.1,,,,,,,,
713,=+,,H07V-K,BK,"1,5",,=Q01+K1.H2-Q2:T1,=Q01+K1.D2-X1:1,,,,,,,,
714,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W3:3L1,=Q01+K1.H2-Q2:L1,,,,,,,,
715,=+,,,,,,=Q01+K1.D2-X1:2,=Q01+K1.D2-X1:2,,,,,,,,
716,=Q01+I1-W109,ÖLFLEX® CLASSIC 110 3x1.5 mm²,,2,"1,5",8 m,=Q01+K1.D2-X1:2,=Q01+S1-N1:X0.2,,,,,,,,
717,=+,,H07V-K,BK,"1,5",,=Q01+K1.H2-Q2:T2,=Q01+K1.D2-X1:2,,,,,,,,
718,=+,,H07V-K,BK,"1,5",,=Q01+K1.H2-Q2:T2,=Q01+K1.D2-X2:2,,,,,,,,
719,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W3:3L2,=Q01+K1.H2-Q2:L2,,,,,,,,
720,=+,,,,,,=Q01+K1.D2-X1:3,=Q01+K1.D2-X1:3,,,,,,,,
721,=+,,H07V-K,BK,"1,5",,=Q01+K1.H2-Q2:T3,=Q01+K1.D2-X2:1,,,,,,,,
722,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W3:3L3,=Q01+K1.H2-Q2:L3,,,,,,,,
723,=Q01+I1-W109,ÖLFLEX® CLASSIC 110 3x1.5 mm²,,GNYE,"1,5",8 m,=Q01+K1.D2-X1:PE,=Q01+S1-N1:X0.PE,,,,,,,,
724,=+,,H05V-K,BU,"0,5",,=Q01+K1.D2-X1:PE,=Q01+K1.D2-X1:PE,,,,,,,,
725,=+,,H07V-K,GNYE,"1,5",,=A02+K1.H2-X6:4:2,=Q01+K1.D2-X1:PE,,,,,,,,
726,=Q01+S1-W110,HE 10 1x0.00,,HE10,"0,00",,=Q01+S1-E1:1,=Q01+S1-N1:X5.1,,,,,,,,
727,=Q01+S1-W110,HE 10 1x0.00,,FLEXGR-Cu,"0,00",,=Q01+S1-E1:S,=Q01+S1-N1:X5.S,,,,,,,,
728,=Q01+S1-W111,"HE 10 1x0,00",,HE10,"0,00",,=Q01+S1-E1:1,=Q01+S1-N1:X6.1,,,,,,,,
729,=Q01+S1-W111,"HE 10 1x0,00",,FLEXGR-Cu,"0,00",,=Q01+S1-E1:S,=Q01+S1-N1:X6.S,,,,,,,,
730,=+,,H05V-K,BU,"0,5",,=Q01+K1.H2-Q2:14,=Q01+K1.B1-A4:1,,,,,,,,
731,=+,,H05V-K,BU,"0,5",,=Q01+K1.H2-Q2:14,=Q01+K1.B1-A7:1,,,,,,,,
732,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-W5(-P1):P1:2,=Q01+K1.H2-Q2:13,,,,,,,,
733,=Q01+I1-W312,"UNITRONIC® LiYCY 10x0,5 mm²",,Schirm,,,=Q01+S1-N1:X1.CASE,=A02+K1.B1-W10:SE,,,,,,,,
734,=Q01+I1-W312,"UNITRONIC® LiYCY 10x0,5 mm²",,WH,"0,5",,=A02+K1.B1-X21-X21.3M:1,=Q01+S1-N1:X1.1,,,,,,,,
735,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A4:9,=A02+K1.B1-X21-X21.3F:1,,,,,,,,
736,=Q01+I1-W312,"UNITRONIC® LiYCY 10x0,5 mm²",,BN,"0,5",,=A02+K1.B1-X21-X21.3M:2,=Q01+S1-N1:X1.2,,,,,,,,
737,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X21-X21.3F:2,=Q01+K1.B1-W5(-P2):P2:2,,,,,,,,
738,=Q01+I1-W312,"UNITRONIC® LiYCY 10x0,5 mm²",,GN,"0,5",,=A02+K1.B1-X21-X21.3M:3,=Q01+S1-N1:X1.3,,,,,,,,
739,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A4:10,=A02+K1.B1-X21-X21.3F:3,,,,,,,,
740,=Q01+I1-W312,"UNITRONIC® LiYCY 10x0,5 mm²",,YE,"0,5",,=A02+K1.B1-X21-X21.3M:4,=Q01+S1-N1:X1.4,,,,,,,,
741,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X21-X21.3F:4,=Q01+K1.B1-W5(-P2):P2:2,,,,,,,,
742,=Q01+I1-W312,"UNITRONIC® LiYCY 10x0,5 mm²",,GY,"0,5",,=A02+K1.B1-X21-X21.3M:5,=Q01+S1-N1:X1.5,,,,,,,,
743,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A4:11,=A02+K1.B1-X21-X21.3F:5,,,,,,,,
744,=Q01+I1-W312,"UNITRONIC® LiYCY 10x0,5 mm²",,PK,"0,5",,=A02+K1.B1-X21-X21.3M:6,=Q01+S1-N1:X1.6,,,,,,,,
745,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X21-X21.3F:6,=Q01+K1.B1-W5(-P2):P2:2,,,,,,,,
746,=Q01+I1-W312,"UNITRONIC® LiYCY 10x0,5 mm²",,BU,"0,5",,=A02+K1.B1-X21-X21.3M:7,=Q01+S1-N1:X1.7,,,,,,,,
747,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A4:2,=A02+K1.B1-X21-X21.3F:7,,,,,,,,
748,=Q01+I1-W312,"UNITRONIC® LiYCY 10x0,5 mm²",,BK,"0,5",,=A02+K1.B1-X21-X21.3M:8,=Q01+S1-N1:X1.9,,,,,,,,
749,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A4:3,=A02+K1.B1-X21-X21.3F:8,,,,,,,,
