Consecutive number,"Connection
device identifier(full)","cable
Type/connections number/RCS",Connection: Type designation,Connection color / number,Connection: Cross-section / diameter,Length (full),"Device (source)
Name of target connection point (full)","Device (target)
Name of target connection point (full)",Wire termination processing source,Wire termination processing target,Routing direction source,Routing direction target,Bundle,Layout space: Routing track,Connection designation,Remark
113,=+,,NSGAFÖU,BK,16,,=A01+K1.H2-W0:L3,=A02+K1.H2-W3:3L3,,,,,,,,
114,=+,,H05V-K,BU,"0,5",,=A01+K1.H2-K2:2,=A02+K1.H2-W4:1L1,,,,,,,,
115,=+,,NSGAFÖU,BK,16,,=A01+K1.H2-W0:L1,=A01+K1.H2-K2:1,,,,,,,,
116,=+,,H05V-K,BU,"0,5",,=A01+K1.H2-K2:4,=A02+K1.H2-W4:1L2,,,,,,,,
117,=+,,NSGAFÖU,BK,16,,=A01+K1.H2-W0:L2,=A01+K1.H2-K2:3,,,,,,,,
118,=+,,H05V-K,BU,"0,5",,=A01+K1.H2-K2:6,=A02+K1.H2-W4:1L3,,,,,,,,
119,=+,,NSGAFÖU,BK,16,,=A01+K1.H2-W0:L3,=A01+K1.H2-K2:5,,,,,,,,
120,=+,,H05V-K,BU,"0,5",,=A02+K1.H2-W2:2L3,=A02+K1.H2-W2.1:2L3,,,,,,,,
121,=+,,H05V-K,BU,"0,5",,=A02+K1.H2-W2:2L2,=A02+K1.H2-W2.1:2L2,,,,,,,,
122,=+,,H05V-K,BU,"0,5",,=A02+K1.H2-W2:2L1,=A02+K1.H2-W2.1:2L1,,,,,,,,
123,=+,,H07V-K,BU,4,,=A02+K1.H1-G2:+V,=A02+K1.B1-V1(0):1,,,,,,,,
124,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-Q1:L1,=A02+K1.H2-W1:1L1,,,,,,,,
125,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W1:1L2,=A02+K1.H2-Q1:L2,,,,,,,,
126,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W1:1L3,=A02+K1.H2-Q1:L3,,,,,,,,
127,=+,,H07V-K,BU,4,,=A02+K1.H1-G2:-V,=A02+K1.B1-W6(-P2):P2:1,,,,,,,,
128,=+,,H05V-K,GNYE,"0,75",,=A02+K1.H2-X6:PE:2,=A02+K1.H1-G2:PE,,,,,,,,
129,=+,,H07V-K,GNYE,4,,=A02+K1.H1-G2:-V',=A02+K1.H2-X6:PE:1,,,,,,,,
130,=+,,H07V-K,BK,"1,5",,=A02+K1.H2-F2:2,=A02+K1.B1-X200:L,,,,,,,,
131,=+,,,direkt verbunden,,,=A01+K1.H2-W0:L1,=A02+K1.H2-F2:1,,,,,,,,
132,=+,,H07V-K,BU,"1,5",,=A02+K1.H2-X5:2:1,=A02+K1.B1-X200:N,,,,,,,,
133,=+,,H07V-K,GNYE,"1,5",,=A02+K1.H2-X6:4:1,=A02+K1.B1-X200:PE,,,,,,,,
134,=A02+K1-W100,"ÖLFLEX® CLASSIC 110 3x0,75 mm²",,1,"0,75",3.5 m,=A02+K1.H1-K1:2,=A02+K1.A1-X21:L,,,,,,,,
135,=+,,H07V-K,BK,"1,5",,=A02+K1.H1-K1:2,=A02+K1.H1-K1:4,,,,,,,,
